,0
улицу,2
не стала,2
удлинителю,2
недели,2
исправен,2
скотчем,2
пришлось,2
всякий,2
контакты,2
мучаться,2
новым,2
удлинителями,2
задачей,2
неделю,2
дороже,2
смешной,2
легкие,2
нерабочем,2
о,2
77,2
заказом,2
не до,2
вспыхнул,2
сейчас,2
не заметные,2
не сильно,2
все очень,2
пакетик,2
чо,2
не нагревается,2
работой,2
безумно,2
адекватная,2
особенно,2
пакетике,2
шнуры,2
минут,2
замечательно,2
моей,2
чтоб,2
повесить,2
проблем,2
их,2
не подходит,2
запаха,2
выход,1
заметны,1
чтото,1
серое,1
все работаетаккуратный,1
50,1
высоте,1
штору,1
прекрасные,1
не подведут,1
надеяться,1
жидковаты,1
разных,1
понравились,1
хлюпенький,1
оставляет,1
практически,1
пакетикетут,1
приобрела,1
липкий,1
немножко,1
этом,1
62ри,1
елке,1
не хватает,1
докупила,1
упакованы,1
классные,1
именно,1
одной,1
пальцах,1
отличной,1
липкие,1
работаетсвоих,1
закончится,1
покупал,1
дальнейшем,1
не подведет,1
картинке,1
ужас,1
устроил,1
феерверк,1
задымился,1
01,1
секунду,1
обпалил,1
стулья,1
могло,1
вытаскивается,1
валдберис,1
скидке,1
ухватил,1
отменно,1
изьянов,1
не могу,1
приложить,1
шикарный,1
100,1
упаковать,1
которых,1
рабочим,1
положить,1
покупателю,1
нашей,1
активно,1
могу,1
не страшные,1
узнаю,1
после,1
праздников,1
боишься,1
лишний,1
вытаскивать,1
родной,1
штучка,1
шторку,1
не повесить,1
попахивает,1
какието,1
настроения,1
минусы,1
работу,1
прошлом,1
полета,1
незаменимый,1
помощник,1
все идеально,1
подклили,1
3шт,1
урвать,1
55р,1
чему,1
не виден,1
присоединили,1
90,1
соответстветсвует,1
вешь,1
работаетвсем,1
воткнуоа,1
не 5,1
увы,1
хлипко,1
выглядит,1
навсегда,1
похоже,1
превосходно,1
все нормгирлянда,1
вонь,1
режет,1
держит,1
глаза,1
достойно,1
упакованработает,1
не 3,1
2метра,1
подарком,1
не обнаружила,1
быть,1
мог,1
зарядки,1
телефона,1
кроватью,1
лежал,1
воняет,1
повелась,1
пройдет,1
выполнен,1
замечательная,1
крайне,1
минимальной,1
гирляндамвсе,1
дополнение,1
дело,1
не включайте,1
65,1
втыкается,1
них,1
читала,1
родные,1
страхом,1
не понравилось,1
лишь,1
одним,1
дойдет,1
не понятно,1
сердито,1
электроколорифер,1
пожалуйста,1
иначе,1
свое,1
застрял,1
не проверишь,1
подсоединить,1
куда,1
реально,1
купленным,1
вставляю,1
все три,1
все устроила,1
хотела,1
включении,1
курьер,1
молодец,1
знает,1
карниз,1
прятать,1
не влазит,1
см,1
не плохой,1
подсоединяю,1
канца,1
не горят,1
фонарики,1
вытащить,1
актуально,1
хлибковат,1
отвалился,1
материал,1
ощуп,1
странный,1
выручил,1
20,1
спасает,1
все работаетдоставка,1
60,1
красивая,1
качественную,1
доставкуполезная,1
осадок,1
хоиошорекомендую,1
пожалела,1
не заказала,1
своевременна,1
разъем,1
не ко,1
видам,1
вилок,1
подобным,1
не только,1
помощи,1
смещения,1
не отличается,1
металлического,1
отверстия,1
7,1
не рекомендую,1
бракованного,1
сполна,1
все сошлось,1
разочарована,1
дотянуть,1
не смогла,1
включить,1
одну,1
все горит,1
свой,1
тех,1
сети,1
решена,1
проблема,1
приходилось,1
таскать,1
квартире,1
шаровые,1
видимых,1
деле,1
не опробовала,1
все будет,1
самре,1
занавес,1
не отпадет,1
незаметно,1
дорого,1
решением,1
неприятный,1
не три,1
честно,1
разработается,1
хлипенькийвилка,1
отдельное,1
разваливается,1
не беда,1
290,1
пользуюсь,1
прада,1
питания,1
всякое,1
людям,1
соусом,1
класть,1
побоюсь,1
оставлять,1
присмотра,1
точно,1
150,1
ср,1
метровый,1
все рабочее,1
мучались,1
розеткой,1
лаконично,1
надежно,1
здравствуйтевсе,1
работаеткачество,1
блок,1
садика,1
поверить,1
отправили,1
оплавилась,1
какойто,1
все работаетрекомендую,1
осторожностью,1
не хочу,1
испортить,1
новую,1
нельзя,1
починить,1
включать,1
заводская,1
рад,1
успехов,1
процветания,1
новом,1
своих,1
брак,1
99руб,1
будто,1
жалею,1
не распаковала,1
обнаружился,1
порез,1
ктото,1
специально,1
сделал,1
все работаетпродавцу,1
шатается,1
не нужен,1
55рвполне,1
приемлемая,1
кривая,1
окалинами,1
испачканным,1
липком,1
перезаказала,1
штор,1
данный,1
ставляешь,1
вещьспасибо,1
аккуратный,1
разотличные,1
удлинителипришли,1
упакованысоответствуют,1
идеальный,1
не видно,1
все исправно,1
приятной,1
шторыгирлянды,1
украшать,1
лоджию,1
все шикарно,1
люблю,1
занимает,1
прозрачен,1
демократичная,1
полного,1
помогает,1
короткого,1
шнура,1
прозрачные,1
сочетаются,1
удлинительзапакован,1
пупыркеспасибо,1
92,1
потерпеть,1
хрупкая,1
не дотягивалась,1
китайского,1
3метровых,1
такою,1
5метровых,1
3метровый,1
ладно,1
хозяйстве,1
пригодится,1
наконец,1
не могла,1
подключать,1
длинна,1
позволяет,1
все устроило,1
не сразу,1
размотаешь,1
испробуем,1
думала,1
таить,1
проводки,1
будут,1
порадовал,1
70,1
наводке,1
блогера,1
телеграм,1
vseskidkiyar,1
кривинькие,1
не заискрило,1
китайский,1
вещ,1
копейкамиподключила,1
греха,1
предельной,1
переломиться,1
все отличнобольшое,1
пищевой,1
вб,1
состоянииспасибо,1
использовании,1
доживут,1
следующий,1
замотала,1
84р,1
легко,1
удленнителиоднозначно,1
бережно,1
относится,1
проволочка,1
тонкая,1
задержки,1
новое,1
такого,1
цвета,1
не использовала,1
ень,1
не предвещало,1
беды,1
включая,1
услышали,1
треск,1
повалил,1
проводка,1
обгорела,1
изнутрихоть,1
не смог,1
угробить,1
сильно,1
спасибоизмерела,1
отличном,1
рода,1
62рубс,1
китайским,1
длиной,1
угадала,1
не понимаю,1
откуда,1
доставкивсе,1
самая,1
не больше,1
остального,1
пленкой,1
штуковину,1
лучшим,1
главноеесть,1
заказывал,1
карты,1
всякого,1
списали,1
124,1
00руб,1
1шт,1
не красиво,1
верните,1
остаток,1
дошлите,1
сервис,1
здесь,1
большоерекомендую,1
не смотря,1
полезный,1
девайс,1
напугал,1
не работающий,1
тоненькая,1
адресне,1
надежности,1
покажет,1
все целоецена,1
221р,1
отличноспасибо,1
не рабочим,1
мелочь,1
не приятно,1
деньки,1
сливается,1
бюджетная,1
ламп,1
все во,1
не на,1
забрать,1
предположения,1
работаетя,1
пола,1
придерживать,1
искали,1
штекер,1
погнуты,1
плохой,1
все работоет,1
250,1
трехметровый,1
гирляндезанавес,1
удленнили,1
вас,1
который,1
сомнение,1
отдельно,1
странно,1
самый,1
оплатила,1
гдето,1
маленькая,1
повесила,1
пошел,1
тоненькийза,1
придумали,1
посмотрела,1
придет,1
вечно,1
оказалось,1
зря,1
переживала,1
хлипковата,1
какой,1
продать,1
работа,1
пункта,1
небольшой,1
потертостей,1
не пробовала,1
отходит,1
комплекция,1
ним,1
посматривать,1
дают,1
бесплатно,1
наклейку,1
0,1
решили,1
быстроя,1
прерывается,1
данного,1
масле,1
путевая,1
берите,1
работаетспасибо,1
декабря,1
начале,1
создавая,1
красоту,1
переходника,1
не очень,1
включаешь,1
невесомый,1
стыка,1
ярко,1
переломанный,1
копеечная,1
стать,1
обращаться,1
принципе,1
казани,1
мурома,1
сами,1
не хлипкие,1
елочку,1
поставить,1
неисправный,1
описание,1
соответствие,1
не существенная,1
планах,1
не повреждена,1
поднялась,1
цены,1
не пострадало,1
прислали,1
столько,1
здравствуйте,1
не втыкать,1
не купила,1
упора,1
не отходит,1
какую,1
ж,1
хлюпенькая,1
косенькая,1
кривенькая,1
рабочийуже,1
наслаждаемся,1
красивой,1
подозрительна,1
ждала,1
эта,1
не пахнет,1
отстает,1
вставляешь,1
горелыйэто,1
вобщеполучается,1
продавцов,1
вашего,1
других,1
отличие,1
обожгла,1
палец,1
повесть,1
настроение,1
испортилось,1
себя,1
проводне,1
тратить,1
решил,1
запакован,1
незаметен,1
продавец,1
ответственный,1
досталась,1
запросам,1
пользуемся,1
невиден,1
все внимание,1
повредиться,1
следования,1
упаковке,1
прочной,1
задуматься,1
поставщику,1
не подошел,1
однако,1
все прошло,1
гари,1
осущения,1
отправка,1
гирланде,1
неплохой,1
не наджно,1
держиться,1
разъме,1
отсуствует,1
удленители,1
самом,1
зачем,1
гирляндуштору,1
не достает,1
все достает,1
скромные,1
не заметен,1
смело,1
атас,1
мира,1
все видно,1
пожара,1
здоровья,1
спасибочки,1
видя,1
работали,1
ужасв,1
отправлять,1
заявленномуспасибо,1
хлипенький,1
все дешевое,1
потому,1
предназначенной,1
украшения,1
окна,1
криво,1
токих,1
нормальные,1
роботоит,1
добирался,1
метрового,1
погнутая,1
проверять,1
вилке,1
знала,1
разочень,1
2р,1
осталась,1
неприятно,1
удивлена,1
таком,1
видеразрезан,1
нерусских,1
рвботает,1
нас,1
розеток,1
заказа,1
пригодиться,1
там,1
китайскими,1
тапочками,1
проблемы,1
чего,1
сделано,1
вечные,1
все свои,1
разом,1
сначала,1
метраж,1
смотрятся,1
привезли,1
браком,1
не полностью,1
не покупала,1
стандартного,1
ехал,1
мспасибо,1
потребителя,1
выдаче,1
проверяли,1
соединив,1
другимспасибо,1
права,1
писать,1
намереваюсь,1
многих,1
все обошлось,1
спас,1
благо,1
удлинительвзяла,1
загорелась,1
долгооооочень,1
она,1
вставила,1
эксплуатации,1
опасная,1
не берите,1
цвет,1
магазинах,1
нашего,1
города,1
крепкое,1
заявленной,1
сотрудники,1
пункт,1
припаян,1
соединении,1
совпадает,1
елки,1
все класс,1
не будут,1
знаете,1
хлюплый,1
остальном,1
склеить,1
спасибовсе,1
слабые,1
упала,1
интересно,1
праздники,1
новогодние,1
заказываем,1
разпришел,1
решение,1
бывают,1
доме,1
переходники,1
шторе,1
98,1
жуткий,1
существенный,1
задаром,1
нравится,1
не воняют,1
прекрасная,1
мой,1
герляндам,1
плюсы,1
токи,1
большие,1
единственный,1
доставкарекомендую,1
все работаетдлина,1
ожидали,1
малых,1
напряжений,1
подойдет,1
красивее,1
расчитан,1
бытовых,1
приборов,1
86р,1
необходимый,1
рекомендуют,1
все отличнобыстрота,1
быстропродавца,1
выветривается,1
все отличнопришел,1
рекомендации,1
черный,1
видимо,1
столбом,1
стоял,1
применять,1
помещении,1
дом,1
не сгорел,1
недорогой,1
бытрая,1
удленнителей,1
часа,1
заискрился,1
первенстве,1
целостности,1
удобнопрактически,1
быстроцелый,1
какое,1
украшении,1
порвана,1
не хуже,1
те,1
не раздражает,1
сборка,1
таже,1
никакого,1
встречать,1
ценуподарок,1
работаеточень,1
прозрачныйне,1
особо,1
не оставлять,1
сопливенький,1
надовсе,1
ненадежный,1
не случился,1
пожар,1
увидели,1
ценакачество,1
товару,1
подключаешь,1
напрямую,1
претензий,1
заказал,1
целлофан,1
работаетвсе,1
оконных,1
переноску,1
оно,1
не должно,1
все качественно,1
пайкой,1
выходит,1
выписала,1
деньгивзяла,1
не заметно,1
придумал,1
белый,1
возьму,1
проблемспасибо,1
заменила,1
особенного,1
не выпадает,1
удлинителем,1
меньше,1
не вижу,1
цели,1
ставить,1
вовремявсе,1
запечатаноспасибо,1
туговато,1
всунулся,1
шнурпрям,1
плотное,1
гнездо,1
не болтается,1
работаю,1
отправку,1
тугая,1
длине,1
повороте,1
рабочиев,1
удленнитель,1
вошла,1
другого,1
взять,1
слабенько,1
китай,1
китаю,1
рознь,1
работаетзаказывала,1
размера,1
кривоват,1
заказанного,1
удленителя,1
посылку,1
получил,1
сделанный,1
доставление,1
целые,1
развешать,1
герлянды,1
все 4,1
купленной,1
идеальном,1
функционалом,1
выручила,1
каждой,1
своим,1
не зря,1
слабо,1
хлипкие,1
лучшее,1
устраивает,1
минусов,1
не видим,1
все работаютза,1
62руб,1
4шт,1
описанииспасибо,1
баллов,1
удлинительвсеиупаковано,1
проводвсе,1
не видимый,1
окне,1
маловат,1
могли,1
тянет,1
придумать,1
современными,1
этих,1
буквально,1
этими,1
проводаособенно,1
висят,1
необходим,1
не заменимая,1
огоньков,1
все работаетпришел,1
упакованный,1
целлофановый,1
причем,1
нашла,1
не тонкий,1
найти,1
начиталась,1
незаменим,1
приемлемую,1
все упаковано,1
все гирлянды,1
нашли,1
выдали,1
визуально,1
изъянов,1
подключении,1
обычные,1
все исправны,1
сгорела,1
почему,1
потерялся,1
спустя,1
не ждала,1
нашелся,1
писоеденили,1
выполнено,1
пять,1
метровк,1
не спали,1
хватает,1
квартиру,1
натяжки,1
штуковина,1
пользоваться,1
всю,1
негативных,1
отзывов,1
лично,1
никогда,1
хрупкий,1
переноски,1
хиленький,1
ведь,1
естественно,1
неудивительно,1
ожидать,1
чегото,1
иного,1
смысла,1
доволена,1
около,1
идеальна,1
кстати,1
все и,1
надорвана,1
скоро,1
выветрится,1
качестве,1
не тянет,1
вниз,1
остались,1
довольныспасибо,1
незаменимая,1
урвала,1
хожу,1
радуюсь,1
побольше,1
весу,1
имеется,1
уж,1
характерный,1
56р,1
фантастика,1
качеством,1
виде,1
гнет,1
зубья,1
топ,1
морозе,1
64рпросто,1
хотя,1
поработает,1
миниатюрный,1
практичный,1
качественый,1
шло,1
работы,1
исправноочень,1
обычныхцена,1
ужасный,1
китайская,1
подделка,1
разметка,1
3040,1
приматывать,1
течении,1
миниатюрная,1
выявлено,1
отказ,1
приехало,1
большой,1
мега,1
все работатет,1
не вставился,1
дней,1
гирляндыпришел,1
цветы,1
внешнему,1
виду,1
притензий,1
лампы,1
покупает,1
елку,1
входы,1
ужасные,1
описаниюработает,1
влезла,1
какимто,1
снежинки,1
чудом,1
электрической,1
разместили,1
высоко,1
используем,1
отдельную,1
возвращать,1
находится,1
внизу,1
удлинителиь,1
крепления,1
конечная,1
деньгам,1
вываливается,1
